Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO
111,2755.75,1,310002,1002504503,101,WA001,3405A-9999A-9999E,TX001,300888557
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888583
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888585
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888587
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888589
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888738
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888739
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888740
111,2755.75,1,310002,1002504504,101,WA001,3405A-9999A-9999E,TX001,300888741
110,2755.75,1,310002,1002504601,102,WA001,9999A,TX001,300889910
100,2755.75,1,310002,1002505603,102,WA001,9999A,WA001,300903921
98,2425.06,1,310002,1002505801,102,WA001,9999A,WA001,300905709
88,1708.565,1,310002,1002506803,102,WA001,9999A,TX001,300920654
86,1102.3,0,310002,1002507004,102,WA001,9999A,TX001,300923687
77,2755.75,1,310002,1002507905,101,WA001,3405A-9999A-9999E,TX001,300936989
77,2755.75,1,310002,1002507905,101,WA001,3405A-9999A-9999E,TX001,300936990
45,2755.75,1,310002,1002511103,102,WA001,9999A,TX001,300980647
45,2755.75,1,310002,1002511103,102,WA001,9999A,TX001,300980648
45,2755.75,1,310002,1002511103,102,WA001,9999A,TX001,300980649
44,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982475
44,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982476
44,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982477
44,2755.75,1,310002,1002511201,101,WA001,3405A-9999A-9999E,TX001,300982478
42,2755.75,1,310002,1002511401,101,WA001,3405A-9999A-9999E,TX001,300984605
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984625
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984628
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984630
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984644
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984651
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984652
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984705
42,2755.75,1,310002,1002511402,102,WA001,9999A,TX001,300984737
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984755
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984756
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984757
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984782
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984784
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984785
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984792
42,2755.75,1,310002,1002511403,102,WA001,9999A,TX001,300984796
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984821
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984822
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984823
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984824
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984853
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984854
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984855
42,2755.75,1,310002,1002511404,102,WA001,9999A,TX001,300984856
41,2755.75,1,310002,1002511501,101,WA001,3405A-9999A-9999E,TX001,300986848
41,2755.75,1,310002,1002511501,101,WA001,3405A-9999A-9999E,TX001,300986883
